"id","subject","url","parameters"
"8","resultPage","http://nikaro.ir/resultPage?searchInput=","a:1:{s:11:""searchInput"";N;}"
"9","resultPage","http://nikaro.ir/resultPage?searchInput=","a:1:{s:11:""searchInput"";N;}"
"16","resultPage","http://nikaro.ir/resultPage?searchInput=%DA%A9%D8%A7%D8%B8%D9%85%DB%8C%D8%A7%D9%86","a:1:{s:11:""searchInput"";s:14:""کاظمیان"";}"
"19","resultPage","http://nikaro.ir/resultPage?searchInput=","a:1:{s:11:""searchInput"";N;}"
"40","resultPage","http://nikaro.ir/resultPage?searchInput=%DA%A9%D9%84%D9%88%D9%BE%20%D9%BE%D8%A7%D9%86%D8%AF%D8%A7","a:1:{s:11:""searchInput"";s:19:""کلوپ پاندا"";}"
"90","resultPage","http://nikaro.ir/resultPage?searchInput=%D8%AF%D8%A7%D9%85%D8%BA%D8%A7%D9%86%DB%8C%20%D8%B2%D8%A7%D8%AF%D9%87","a:1:{s:11:""searchInput"";s:23:""دامغانی زاده"";}"
"107","resultPage","http://nikaro.ir/resultPage?searchInput=%DA%A9%D9%84%D9%88%D9%BE%20%D9%BE%D8%A7%D9%86%D8%AF%D8%A7","a:1:{s:11:""searchInput"";s:19:""کلوپ پاندا"";}"
"300895","search","https://nikaro.ir/search?q=&cityId=153","a:1:{s:2:""id"";s:6:""search"";}"
"300901","search","https://nikaro.ir/search?q=%D8%A8%D8%B1%D8%AA%D8%B1+%D8%A7%D9%86%D8%AF%DB%8C%D8%B4%D8%A7%D9%86","a:1:{s:2:""id"";s:6:""search"";}"
"300944","search","https://nikaro.ir/search?q=+%D8%B9%D9%84%D8%A7%D9%85%D9%87+%D8%B7%D8%A8%D8%A7%D8%B7%D8%A8%D8%A7%DB%8C%DB%8C","a:1:{s:2:""id"";s:6:""search"";}"
"300955","search","https://nikaro.ir/search?q=%D9%BE%D8%A7%D8%B1%D8%B3+%D8%B3%D8%A7%D9%85%D8%A7%D9%86+%D8%B7%D9%88%D8%B3","a:1:{s:2:""id"";s:6:""search"";}"
"300958","search","https://nikaro.ir/search?q=%D8%A8%DB%8C%D9%86%D8%A7%D9%84%D9%88%D8%AF","a:1:{s:2:""id"";s:6:""search"";}"
"300985","search","https://nikaro.ir/search?q=%D8%A2%D8%B2%D9%85%D8%A7","a:1:{s:2:""id"";s:6:""search"";}"
