880|| هتلداری|| هتلداری|| هتلداری
881|| خليج فارس هتلداری|| خليج فارس|| هتلداری
882|| رنگين هتلداری مجلس|| هتلداری مجلس|| هتلداری
883|| هتلداری انديشان شماره ژرف اشتباه|| هتلداری|| هتلداری
884|| فنی انديشان عدم ژرف پاسخگو|| کامپیوتر انديشان حسابدار نقشه|| فنی
885|| كار آفرين اشتباه است جوان شماره|| جوان|| مهارت
886|| آشپز آناناس|| متد آموزان برگ زار کنندگان بازار محور هنرجو شغل اصول آشپز آناناس|| 
887|| پارمیدا آشپز|| متد آموزان برگ زار کنندگان بازار پارمیدا محور هنرجو شغل اصول آشپز|| 
888|| آشپز تاتلي|| متد آموزان برگ زار کنندگان بازار محور هنرجو شغل اصول آشپز|| 
889|| گندم جوانه آشپز|| آموزان شاپ پخت کیک ارائه آشپز آرای وزارت دست ترجمه هنرجو سفره متد اصول نان الملل سبزی محدوده بازار خراسان کوکی گندم شیرینی رضوی پخت جو جوانه دسر برگ زار کنندگان غذا محور میوه شغل پزی هنر کارنامه استقلال|| 
890|| آشپز دیانت|| متد بانوان آموزان دسر برگ زار کنندگان شيريني بازار کاپ محور هنرجو کیک فوندانت شغل اصول آشپز دیانت|| 
891|| شماره آشپز اشتباه رضازاده|| متد اشتباه آموزان برگ زار کنندگان بازار محور هنرجو شغل اصول آشپز|| 
892|| رنگینک آشپز اشتباه شماره|| پک پارمیدا پخت قاب پزی کاپ کیک فوندانت عکس آشپز هنر|| آشپز هنر هنری
893|| شاتوت آشپز|| آذر هنر آموزان نکات پخت کادر آشپز تکتم سطح ساندویچ کارگاه ابزار فینگر فراست عربی کار آموزان پلو مباحث استقبال حیطه غذا محور شاپ پیتزا ملل دسترس قراره ارائه همبرگر تدارک مناسبت کاری آموزش ایتالیا غفاری تاجیک روت بزغانی نسرین کودکان صبحانه شمس شغل صرفه پزی ذکر فست تایید جلسه ابوذر قبیل ابتدای کشور نان جزو احمد آباد شیرینی آش کامیار حسین باز گشایی برگ زار کنندگان هنر آموزان خلاف دروس ترجمه هنرجو اصول متد وسایل سابقه محدوده بازار همراه کلاسها فود شاتوت مواد هزینه|| 
894|| شاهدونه آشپز|| آموزان شاهدونه پخت عدالمطلب کیک خیام آشپز آرای تزیین هنرجو متد اصول قناد الملل محدوده اشاره بازار حکاک شیرینی دسر غذاهاش برگ زار کنندگان کباب دکور غذا محور میوه شغل پزی|| 
895|| آشپز شهدگل|| متد آموزان برگ زار کنندگان بازار محور هنرجو شغل اصول آشپز شهدگل|| 
